Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Milford,Yes,54747,36750,67.13,34838,63.63,08/12/2021
Monroe,No,19434,13246,68.16,12402,63.82,08/12/2021
Montville,Yes,18508,10626,57.41,9976,53.9,08/12/2021
Morris,No,2254,1426,63.27,1327,58.87,08/12/2021
Naugatuck,No,31108,18401,59.15,16853,54.18,08/12/2021
New Britain,Yes,72495,36595,50.48,32994,45.51,08/12/2021
New Canaan,No,20233,15505,76.63,14222,70.29,08/12/2021
New Fairfield,No,13878,8786,63.31,8169,58.86,08/12/2021
New Hartford,No,6656,4365,65.58,4139,62.18,08/12/2021
New Haven,Yes,130250,73811,56.67,66676,51.19,08/12/2021
New London,Yes,26858,15071,56.11,13674,50.91,08/12/2021
New Milford,No,26805,18624,69.48,17353,64.74,08/12/2021
Newington,No,30014,21264,70.85,20082,66.91,08/12/2021
Newtown,No,27891,19506,69.94,18300,65.61,08/12/2021
Norfolk,No,1630,1045,64.11,982,60.25,08/12/2021
North Branford,No,14146,10050,71.04,9515,67.26,08/12/2021
North Canaan,No,3251,1841,56.63,1697,52.2,08/12/2021
North Haven,No,23683,18601,78.54,17560,74.15,08/12/2021
North Stonington,No,5196,2951,56.79,2819,54.25,08/12/2021
Norwalk,Yes,88816,62144,69.97,56280,63.37,08/12/2021
Norwich,Yes,38768,22041,56.85,20295,52.35,08/12/2021
Old Lyme,No,7306,5485,75.08,5216,71.39,08/12/2021
Old Saybrook,No,10061,8346,82.95,7874,78.26,08/12/2021
Orange,Yes,13926,9946,71.42,9411,67.58,08/12/2021
Oxford,No,13255,8628,65.09,8103,61.13,08/12/2021
Plainfield,Yes,15125,7707,50.96,7153,47.29,08/12/2021
Plainville,No,17534,11148,63.58,10405,59.34,08/12/2021
Plymouth,No,11598,6279,54.14,5875,50.66,08/12/2021
Pomfret,No,4203,2622,62.38,2446,58.2,08/12/2021
Portland,No,9267,6513,70.28,6132,66.17,08/12/2021
Preston,No,4625,2828,61.15,2675,57.84,08/12/2021
Prospect,No,9702,6242,64.34,5885,60.66,08/12/2021
Putnam,No,9389,4955,52.77,4646,49.48,08/12/2021
Redding,No,9116,5982,65.62,5652,62,08/12/2021
Resident out of state,,,72655,,58615,,08/12/2021
Ridgefield,No,24959,18114,72.58,17092,68.48,08/12/2021
Rocky Hill,No,20115,14481,71.99,13698,68.1,08/12/2021
Roxbury,No,2152,1648,76.58,1543,71.7,08/12/2021
Salem,No,4083,2582,63.24,2419,59.25,08/12/2021
Salisbury,No,3600,3179,88.31,2997,83.25,08/12/2021
Scotland,No,1672,887,53.05,836,50,08/12/2021
Seymour,No,16437,10335,62.88,9536,58.02,08/12/2021
Sharon,No,2689,1793,66.68,1669,62.07,08/12/2021
Shelton,No,41129,27435,66.7,25640,62.34,08/12/2021
Sherman,No,3630,2252,62.04,2128,58.62,08/12/2021
Simsbury,No,25395,18706,73.66,17736,69.84,08/12/2021
Somers,No,10784,6272,58.16,5894,54.66,08/12/2021
South Windsor,No,26162,19357,73.99,18337,70.09,08/12/2021
Southbury,No,19571,14205,72.58,13411,68.52,08/12/2021
Southington,No,43834,30189,68.87,28679,65.43,08/12/2021
Sprague,No,2859,1530,53.52,1424,49.81,08/12/2021
Stafford,No,11893,6308,53.04,5927,49.84,08/12/2021
Stamford,Yes,129638,94241,72.7,84077,64.86,08/12/2021
Sterling,No,3782,1643,43.44,1518,40.14,08/12/2021
Stonington,No,18559,12695,68.4,12081,65.1,08/12/2021
Stratford,No,51849,32116,61.94,29689,57.26,08/12/2021
Suffield,No,15814,10080,63.74,9326,58.97,08/12/2021
Thomaston,No,7535,4529,60.11,4265,56.6,08/12/2021
Thompson,No,9379,4201,44.79,3918,41.77,08/12/2021
Tolland,No,14618,10094,69.05,9609,65.73,08/12/2021
Torrington,Yes,34044,21331,62.66,19744,58,08/12/2021
Trumbull,No,35673,26242,73.56,24542,68.8,08/12/2021
Union,No,839,500,59.59,475,56.62,08/12/2021
Vernon,Yes,29359,19543,66.57,18282,62.27,08/12/2021
Voluntown,No,2510,1431,57.01,1360,54.18,08/12/2021
Wallingford,No,44326,31386,70.81,29583,66.74,08/12/2021
Warren,No,1395,942,67.53,886,63.51,08/12/2021
Washington,No,3428,2669,77.86,2474,72.17,08/12/2021
Waterbury,Yes,107568,56128,52.18,49737,46.24,08/12/2021
Waterford,Yes,18746,13393,71.44,12684,67.66,08/12/2021
Watertown,No,21578,14225,65.92,13315,61.71,08/12/2021
West Hartford,Yes,62965,48759,77.44,45836,72.8,08/12/2021
West Haven,Yes,54620,33271,60.91,30569,55.97,08/12/2021
Westbrook,No,6869,4966,72.3,4677,68.09,08/12/2021
Weston,No,10252,7578,73.92,7126,69.51,08/12/2021
Westport,No,28491,20747,72.82,19389,68.05,08/12/2021
Wethersfield,No,26008,19381,74.52,18313,70.41,08/12/2021
Willington,No,5864,3394,57.88,3211,54.76,08/12/2021
Wilton,No,18343,14028,76.48,13139,71.63,08/12/2021
Winchester,Yes,10604,6056,57.11,5587,52.69,08/12/2021
Windham,Yes,24561,12843,52.29,11794,48.02,08/12/2021
Windsor,No,28733,19966,69.49,18499,64.38,08/12/2021
Windsor Locks,Yes,12854,7991,62.17,7460,58.04,08/12/2021
Wolcott,No,16587,10359,62.45,9727,58.64,08/12/2021
Woodbridge,No,8750,6691,76.47,6359,72.67,08/12/2021
Woodbury,No,9502,6507,68.48,6180,65.04,08/12/2021
Woodstock,No,7858,4739,60.31,4476,56.96,08/12/2021
Address pending validation,,,16242,,14903,,08/18/2021
Andover,No,3236,2118,65.45,2018,62.36,08/18/2021
Ansonia,Yes,18654,10430,55.91,9359,50.17,08/18/2021
Ashford,No,4255,2626,61.72,2503,58.82,08/18/2021
Avon,No,18276,14615,79.97,13803,75.53,08/18/2021
Barkhamsted,No,3606,2405,66.69,2279,63.2,08/18/2021
Beacon Falls,No,6222,3896,62.62,3668,58.95,08/18/2021
Berlin,No,20436,13904,68.04,13242,64.8,08/18/2021
Bethany,No,5548,3787,68.26,3598,64.85,08/18/2021
Bethel,No,19800,12611,63.69,11639,58.78,08/18/2021
Bethlehem,No,3402,2129,62.58,1991,58.52,08/18/2021
Bloomfield,No,21211,14914,70.31,13605,64.14,08/18/2021
Bolton,No,4884,3310,67.77,3157,64.64,08/18/2021
Bozrah,No,2726,1557,57.12,1495,54.84,08/18/2021
Branford,No,27900,20434,73.24,19346,69.34,08/18/2021
Bridgeport,Yes,144399,77444,53.63,67457,46.72,08/18/2021
Bridgewater,No,1635,1231,75.29,1171,71.62,08/18/2021
Bristol,Yes,59947,38460,64.16,35329,58.93,08/18/2021
Brookfield,No,16973,12003,70.72,11206,66.02,08/18/2021
Brooklyn,No,8272,4547,54.97,4186,50.6,08/18/2021
Burlington,No,9704,6628,68.3,6279,64.71,08/18/2021
Canaan,No,1053,1099,100,1015,96.39,08/18/2021
Canterbury,No,5079,2819,55.5,2641,52,08/18/2021
Canton,No,10254,7208,70.29,6851,66.81,08/18/2021
Chaplin,No,2239,1274,56.9,1188,53.06,08/18/2021
Cheshire,No,28937,21350,73.78,20267,70.04,08/18/2021
Chester,No,4213,2952,70.07,2792,66.27,08/18/2021
Clinton,No,12925,9652,74.68,9065,70.14,08/18/2021
Colchester,No,15809,10561,66.8,9925,62.78,08/18/2021
Colebrook,No,1400,962,68.71,897,64.07,08/18/2021
Columbia,No,5379,3533,65.68,3360,62.47,08/18/2021
Cornwall,No,1362,1102,80.91,1042,76.51,08/18/2021
Coventry,No,12407,8040,64.8,7642,61.59,08/18/2021
Cromwell,No,13839,10510,75.94,9937,71.8,08/18/2021
Danbury,Yes,84694,57146,67.47,50327,59.42,08/18/2021
Darien,No,21728,16427,75.6,15146,69.71,08/18/2021
Deep River,No,4443,3272,73.64,3064,68.96,08/18/2021
Derby,Yes,12339,9085,73.63,7845,63.58,08/18/2021
